name,description,category,price,fullness
Crazy tuna,"Spicy tuna, avocado, topped with seared tuna wasabi tobiko, honey wasabi mayo",Specialty Rolls,12,0.7
Triple Tail,"Tuna, salmon, avocado, topped with jalapeno, yellow tail.",Specialty Rolls,12,0.7
Xmas tree,"Spicy crab, asparagus, topped with baked salmon tempura chip, smelt roe, scallions, eel sauce, spicy mayo",Specialty Rolls,12,0.7
California Hand Roll ,,Sushi Hand Rolls,5,0.6
Salmon Hand Roll ,,Sushi Hand Rolls,5,0.6
Spicy Salmon Hand Roll ,,Sushi Hand Rolls,5,0.6
Tuna Hand Roll ,,Sushi Hand Rolls,5,0.6
Spicy Tuna Hand Roll ,,Sushi Hand Rolls,5,0.6
Grilled Eel Hand Roll ,,Sushi Hand Rolls,6,0.6
Salmon Skin Hand Roll ,,Sushi Hand Rolls,4,0.6
Spicy Scallop Hand Roll ,,Sushi Hand Rolls,8,0.6
Tuna Poke,"Avocado, Seaweed salad, cucumber, edamame",Sushi Combinations,16,1
Salmon Poke,"Avocado, Seaweed salad, cucumber, edamame",Sushi Combinations,16,1
Sushi Combo,8 pieces of nigiri sushi with a California roll,Sushi Combinations,17,1.1
Sushi & Sashimi Combo,6 pieces of nigiri sushi & 10 pieces of sashimi with a California roll,Sushi Combinations,26,1.5
Sashimi Combo,Assortment of 15 pieces of sashimi,Sushi Combinations,22,1.2
Tuna Symphony,"5 tuna sashimi 4 tuna nigiri, 1 spicy tuna roll;no substitutions",Sushi Combinations,21,1.2
Salmon Lover,5 salmon sashimi 4 salmon nigiri 1 spicy salmon roll,Sushi Combinations,20,1.2
